순위,종목명,종목코드,시장,PER,PER점수(/10),ROE(%),ROE점수(/15),FCF수익률(%),FCF점수(/10),PBR,PBR점수(/5),PEG,PEG점수(/10),부채비율(%),부채비율점수(/10),배당수익률(%),배당수익률점수(/10),배당성장연수(년),배당성장점수(/10),소각여부,소각점수(/10),정량합계,경제적해자(0~10직접입력),최종예상점수,메모
1,Allstate Corporation (The),ALL,NYQ,5.6,7,33.6,15,17.2,10,1.87,5,0.05,10,291.3,0,1.8,2,15,10,O,10,69,,=W2+X2,
2,"BCE, Inc.",BCE,NYQ,4.8,10,28.1,15,14.7,10,1.56,5,0.15,10,247.0,0,6.9,7,0,0,O,10,67,,=W3+X3,
3,"The Travelers Companies, Inc.",TRV,NYQ,8.8,5,23.8,15,15.8,10,2.10,5,0.27,10,344.9,0,1.4,2,20,10,O,10,67,,=W4+X4,
4,Novo Nordisk A/S,NVO,NYQ,10.6,2,52.8,15,16.9,10,5.63,3,0.45,10,179.8,2,4.4,5,7,8,O,10,65,,=W5+X5,
5,"The Hartford Insurance Group, I",HIG,NYQ,10.3,2,20.2,15,14.6,10,2.08,5,0.30,10,353.1,0,1.5,2,13,10,O,10,64,,=W6+X6,
6,Booz Allen Hamilton Holding Cor,BAH,NYQ,11.4,2,81.8,15,9.5,10,9.35,3,0.41,10,587.9,0,2.8,2,10,10,O,10,62,,=W7+X7,
7,Arch Capital Group Ltd. - Depos,ACGLO,NMS,1.9,10,18.2,10,74.7,10,0.34,5,0.05,10,227.4,0,6.7,7,0,0,O,10,62,,=W8+X8,
8,Itau Unibanco Banco Holding SA,ITUB,NYQ,11.0,2,21.9,15,57.5,10,2.37,5,0.75,7,1394.2,0,9.0,10,4,3,O,10,62,,=W9+X9,
9,"Leidos Holdings, Inc.",LDOS,NYQ,13.1,2,29.5,15,8.5,10,3.87,3,0.42,10,173.5,2,1.1,2,7,8,O,10,62,,=W10+X10,
10,ResMed Inc.,RMD,NYQ,21.6,0,23.5,15,5.1,7,5.08,3,0.75,7,34.5,7,1.0,2,13,10,O,10,61,,=W11+X11,
11,Trip.com Group Limited,TCOM,NMS,7.6,7,17.2,10,51.3,10,1.39,5,0.04,10,59.8,7,0.6,2,0,0,O,10,61,,=W12+X12,
12,"McCormick & Company, Incorporat",MKC,NYQ,8.5,5,23.6,15,5.3,7,2.00,5,1.64,0,125.9,2,3.5,5,27,10,O,10,59,,=W13+X13,
13,Cincinnati Financial Corporatio,CINF,NMS,11.1,2,15.0,10,11.7,10,1.66,5,0.16,10,157.7,2,2.1,2,7,8,O,10,59,,=W14+X14,
14,"NetEase, Inc.",NTES,NMS,14.3,2,21.1,15,68.8,10,14.88,3,0.74,7,35.1,7,2.8,2,4,3,O,10,59,,=W15+X15,
15,"McCormick & Company, Incorporat",MKC-V,NYQ,8.3,5,23.6,15,5.4,7,1.97,5,1.62,0,125.9,2,3.6,5,22,10,O,10,59,,=W16+X16,
16,"Universal Health Services, Inc.",UHS,NYQ,7.7,7,20.5,15,7.2,7,1.57,5,0.21,10,111.6,2,0.4,2,0,0,O,10,58,,=W17+X17,
17,SEI Investments Company,SEIC,NMS,20.1,0,23.0,15,4.9,4,4.63,3,1.14,4,22.7,10,1.1,2,12,10,O,10,58,,=W18+X18,
18,"T. Rowe Price Group, Inc.",TROW,NMS,10.4,2,19.2,10,6.8,7,2.00,2,0.92,7,21.1,10,5.1,7,3,3,O,10,58,,=W19+X19,
19,"General Mills, Inc.",GIS,NYQ,8.6,5,23.7,15,12.0,10,2.04,5,-,0,246.7,0,6.8,7,6,6,O,10,58,,=W20+X20,
20,"Virtu Financial, Inc.",VIRT,NYQ,9.2,5,29.6,15,10.6,10,2.71,5,0.33,10,1148.8,0,1.9,2,0,0,O,10,57,,=W21+X21,
21,International Business Machines,IBM,NYQ,23.1,0,29.2,15,5.2,7,6.74,3,0.28,10,364.9,0,2.9,2,30,10,O,10,57,,=W22+X22,
22,"PayPal Holdings, Inc.",PYPL,NMS,8.9,5,25.8,15,11.9,10,2.31,5,0.24,10,295.8,0,0.3,2,0,0,O,10,57,,=W23+X23,
23,Fox Corporation,FOX,NMS,13.5,2,17.3,10,11.8,10,2.33,2,0.41,10,94.7,4,1.0,2,5,6,O,10,56,,=W24+X24,
24,"Dillard's, Inc.",DDS,NYQ,16.5,0,32.1,15,6.6,7,5.29,3,-,0,97.0,4,5.2,7,12,10,O,10,56,,=W25+X25,
25,"Ameriprise Financial, Inc.",AMP,NYQ,12.4,2,54.4,15,18.4,10,6.76,3,1.32,4,2815.0,0,1.4,2,20,10,O,10,56,,=W26+X26,
26,"Gilead Sciences, Inc.",GILD,NMS,19.7,0,37.5,15,5.6,7,7.38,3,0.85,7,160.4,2,2.4,2,10,10,O,10,56,,=W27+X27,
27,영원무역홀딩스,009970,KOSPI/KOSDAQ,4.0,10,12.0,5,-10.2,0,0.49,4,0.18,10,31.9,7,2.5,2,9,8,O,10,56,,=W28+X28,
28,클래시스,214150,KOSPI/KOSDAQ,29.4,0,25.5,15,-0.3,0,7.49,3,0.83,7,26.2,10,0.4,2,8,8,O,10,55,,=W29+X29,
29,Intuit Inc.,INTU,NMS,24.7,0,22.8,15,5.7,7,5.63,3,1.06,4,79.9,4,1.1,2,14,10,O,10,55,,=W30+X30,
30,"Best Buy Co., Inc.",BBY,NYQ,12.2,2,36.1,15,9.7,10,4.38,3,-,0,394.9,0,6.2,7,8,8,O,10,55,,=W31+X31,
31,Banco Bilbao Vizcaya Argentaria,BBVA,NYQ,10.4,2,18.3,10,10.1,10,1.82,5,0.48,10,1391.0,0,3.8,5,4,3,O,10,55,,=W32+X32,
32,Applied Industrial Technologies,AIT,NYQ,27.7,0,21.5,15,4.2,4,5.98,3,0.72,7,68.6,4,0.6,2,16,10,O,10,55,,=W33+X33,
33,Comcast Corporation,CMCSA,NMS,6.9,7,17.2,10,16.8,10,1.18,5,0.11,10,180.9,2,3.9,5,6,6,X,0,55,,=W34+X34,
34,Fox Corporation,FOXA,NMS,15.0,0,17.3,10,10.5,10,2.60,2,0.46,10,94.7,4,0.9,2,5,6,O,10,54,,=W35+X35,
35,Kinross Gold Corporation,KGC,NYQ,16.1,0,27.9,15,6.7,7,4.49,3,0.07,10,43.3,7,0.3,2,0,0,O,10,54,,=W36+X36,
36,케이씨씨,002380,KOSPI/KOSDAQ,2.7,10,20.6,15,-7.8,0,0.55,5,0.01,10,117.6,2,2.7,2,2,0,O,10,54,,=W37+X37,
37,Millicom International Cellular,TIGO,NMS,10.7,2,36.2,15,6.5,7,3.88,3,0.13,10,374.5,0,5.3,7,0,0,O,10,54,,=W38+X38,
38,파마리서치,214450,KOSPI/KOSDAQ,19.9,0,24.4,15,-0.9,0,4.87,3,0.22,10,43.5,7,0.3,2,6,6,O,10,53,,=W39+X39,
39,Globe Life Inc.,GL,NYQ,13.5,2,15.2,10,10.2,10,2.05,2,0.58,7,415.7,0,0.7,2,10,10,O,10,53,,=W40+X40,
40,H World Group Limited,HTHT,NMS,22.2,0,32.9,15,39.0,10,8.51,3,0.01,10,433.7,0,3.4,5,1,0,O,10,53,,=W41+X41,
41,"United Parcel Service, Inc.",UPS,NYQ,16.5,0,34.3,15,5.2,7,5.66,3,-,0,350.2,0,6.1,7,16,10,O,10,52,,=W42+X42,
42,Synchrony Financial,SYF,NYQ,9.5,5,16.7,10,37.2,10,1.58,5,0.65,7,610.3,0,1.5,2,4,3,O,10,52,,=W43+X43,
43,Kimberly-Clark Corporation,KMB,NMS,16.1,0,134.6,15,5.0,7,21.72,3,8.32,0,1029.8,0,5.1,7,20,10,O,10,52,,=W44+X44,
