순위,종목명,종목코드,시장,PER,PER점수(/10),ROE(%),ROE점수(/15),FCF수익률(%),FCF점수(/10),PBR,PBR점수(/5),PEG,PEG점수(/10),부채비율(%),부채비율점수(/10),배당수익률(%),배당수익률점수(/10),배당성장연수(년),배당성장점수(/10),소각여부,소각점수(/10),정량합계,경제적해자(0~10직접입력),최종예상점수,메모
1,Allstate Corporation (The),ALL,NYQ,4.5,10,38.4,15,18.2,10,1.72,5,0.01,10,292.3,0,1.9,2,15,10,O,10,72,,=W2+X2,
2,"Sun Communities, Inc.",SUI,NYQ,11.2,2,20.7,15,5.5,7,2.32,5,0.15,10,81.4,4,6.4,7,9,8,O,10,68,,=W3+X3,
3,"The Hartford Insurance Group, I",HIG,NYQ,8.9,5,21.5,15,15.9,10,1.91,5,0.26,10,357.0,0,1.7,2,13,10,O,10,67,,=W4+X4,
4,"The Travelers Companies, Inc.",TRV,NYQ,8.5,5,23.8,15,16.5,10,2.01,5,0.26,10,344.9,0,1.5,2,20,10,O,10,67,,=W5+X5,
5,Arch Capital Group Ltd. - Depos,ACGLO,NMS,1.6,10,20.1,15,76.5,10,0.33,5,0.02,10,236.7,0,6.9,7,0,0,O,10,67,,=W6+X6,
6,SEI Investments Company,SEIC,NMS,14.9,2,30.1,15,5.0,7,4.50,3,0.85,7,21.2,10,1.1,2,12,10,O,10,66,,=W7+X7,
7,"McCormick & Company, Incorporat",MKC,NYQ,7.6,7,23.6,15,5.9,7,1.81,5,1.48,4,125.9,2,3.9,5,27,10,O,10,65,,=W8+X8,
8,Novo Nordisk A/S,NVO,NYQ,10.7,2,60.1,15,14.3,10,6.39,3,0.45,10,175.4,2,3.7,5,7,8,O,10,65,,=W9+X9,
9,Itau Unibanco Banco Holding SA,ITUB,NYQ,9.6,5,21.9,15,31.2,10,2.08,5,0.65,7,1407.3,0,10.0,10,4,3,O,10,65,,=W10+X10,
10,"BCE, Inc.",BCE,NYQ,5.1,7,27.6,15,14.2,10,1.60,5,0.16,10,247.1,0,6.7,7,0,0,O,10,64,,=W11+X11,
11,Comcast Corporation,CMCSA,NMS,4.8,10,21.3,15,21.1,10,1.03,5,0.08,10,194.2,2,4.8,5,6,6,X,0,63,,=W12+X12,
12,Synchrony Financial,SYF,NYQ,6.9,7,21.8,15,39.8,10,1.50,5,0.47,10,637.4,0,1.6,2,4,3,O,10,62,,=W13+X13,
13,RenaissanceRe Holdings Ltd.,RNR,NYQ,4.3,10,24.4,15,30.3,10,1.06,5,0.04,10,305.4,0,0.4,2,0,0,O,10,62,,=W14+X14,
14,Booz Allen Hamilton Holding Cor,BAH,NYQ,11.4,2,81.8,15,9.5,10,9.35,3,0.41,10,587.9,0,2.8,2,10,10,O,10,62,,=W15+X15,
15,ResMed Inc.,RMD,NYQ,19.5,0,23.4,15,5.6,7,4.57,3,0.68,7,35.3,7,1.1,2,13,10,O,10,61,,=W16+X16,
16,Trip.com Group Limited,TCOM,NMS,6.7,7,19.5,10,41.2,10,1.24,5,0.04,10,55.4,7,0.6,2,0,0,O,10,61,,=W17+X17,
17,"Universal Health Services, Inc.",UHS,NYQ,6.1,7,20.4,15,8.9,10,1.24,5,0.17,10,108.2,2,0.5,2,0,0,O,10,61,,=W18+X18,
18,"General Mills, Inc.",GIS,NYQ,8.2,5,23.7,15,12.6,10,1.95,5,-,0,246.7,0,7.1,10,6,6,O,10,61,,=W19+X19,
19,"McCormick & Company, Incorporat",MKC-V,NYQ,7.8,7,23.6,15,5.7,7,1.85,5,1.52,0,125.9,2,3.8,5,22,10,O,10,61,,=W20+X20,
20,"Leidos Holdings, Inc.",LDOS,NYQ,11.9,2,28.2,15,9.6,10,3.36,3,0.39,10,205.9,0,1.2,2,7,8,O,10,60,,=W21+X21,
21,VICI Properties Inc.,VICI,NYQ,9.8,5,11.0,5,8.3,10,1.07,0,0.36,10,65.5,4,6.2,7,7,8,O,10,59,,=W22+X22,
22,Intuit Inc.,INTU,NMS,18.8,0,22.2,15,7.0,7,4.19,3,0.81,7,90.7,4,1.4,2,14,10,O,10,58,,=W23+X23,
23,Logitech International S.A. - R,LOGI,NMS,23.1,0,32.2,15,5.9,7,7.43,3,0.79,7,74.0,4,1.4,2,11,10,O,10,58,,=W24+X24,
24,Barrick Mining Corporation,B,NYQ,11.4,2,22.4,15,5.5,7,2.55,5,0.09,10,57.8,7,1.3,2,1,0,O,10,58,,=W25+X25,
25,Old Republic International Corp,ORI,NYQ,9.2,5,17.3,10,12.4,10,1.59,5,0.51,7,400.4,0,8.4,10,2,0,O,10,57,,=W26+X26,
26,"NetEase, Inc.",NTES,NMS,15.9,0,20.7,15,60.8,10,16.32,3,0.82,7,37.7,7,2.4,2,4,3,O,10,57,,=W27+X27,
27,Fidelity National Information S,FIS,NYQ,8.2,5,16.7,10,8.4,10,1.37,5,0.00,10,172.1,2,3.8,5,1,0,O,10,57,,=W28+X28,
28,"Virtu Financial, Inc.",VIRT,NYQ,9.2,5,29.6,15,10.6,10,2.71,5,0.33,10,1148.8,0,1.9,2,0,0,O,10,57,,=W29+X29,
29,"PayPal Holdings, Inc.",PYPL,NMS,8.1,5,25.3,15,13.6,10,2.04,5,0.22,10,302.2,0,0.3,2,0,0,O,10,57,,=W30+X30,
30,Globe Life Inc.,GL,NYQ,10.4,2,19.3,10,10.2,10,2.02,2,0.44,10,408.9,0,0.7,2,10,10,O,10,56,,=W31+X31,
31,"Dillard's, Inc.",DDS,NYQ,16.5,0,32.1,15,6.6,7,5.29,3,-,0,97.0,4,5.2,7,12,10,O,10,56,,=W32+X32,
32,Fox Corporation,FOX,NMS,15.0,2,15.6,10,11.7,10,2.33,2,0.46,10,96.8,4,0.9,2,5,6,O,10,56,,=W33+X33,
33,Kinross Gold Corporation,KGC,NYQ,12.3,2,31.5,15,7.3,7,3.88,3,0.09,10,40.3,7,0.3,2,0,0,O,10,56,,=W34+X34,
34,"Assurant, Inc.",AIZ,NYQ,12.4,2,17.0,10,12.9,10,2.12,2,0.25,10,509.4,0,1.3,2,21,10,O,10,56,,=W35+X35,
35,영원무역홀딩스,009970,KOSPI/KOSDAQ,3.7,10,11.1,5,-11.2,0,0.41,4,0.16,10,32.1,7,2.8,2,9,8,O,10,56,,=W36+X36,
36,"Ameriprise Financial, Inc.",AMP,NYQ,10.7,2,62.7,15,19.6,10,6.69,3,1.13,4,2869.2,0,1.4,2,20,10,O,10,56,,=W37+X37,
37,"Gilead Sciences, Inc.",GILD,NMS,18.5,0,39.2,15,5.5,7,7.26,3,0.80,7,139.7,2,2.3,2,10,10,O,10,56,,=W38+X38,
38,"T. Rowe Price Group, Inc.",TROW,NMS,10.8,2,19.4,10,6.6,7,2.09,2,0.95,7,23.4,10,4.9,5,3,3,O,10,56,,=W39+X39,
39,Applied Industrial Technologies,AIT,NYQ,28.8,0,21.7,15,4.0,4,6.25,3,0.74,7,60.7,4,0.6,2,16,10,O,10,55,,=W40+X40,
40,Progressive Corporation (The),PGR,NYQ,9.9,5,36.1,15,15.1,10,3.56,3,0.06,10,281.4,0,2.5,2,2,0,O,10,55,,=W41+X41,
