순위,종목명,종목코드,시장,PER,PER점수(/10),ROE(%),ROE점수(/15),FCF수익률(%),FCF점수(/10),PBR,PBR점수(/5),PEG,PEG점수(/10),부채비율(%),부채비율점수(/10),배당수익률(%),배당수익률점수(/10),배당성장연수(년),배당성장점수(/10),소각여부,소각점수(/10),정량합계,경제적해자(0~10직접입력),최종예상점수,메모
1,Allstate Corporation (The),ALL,NYQ,4.7,10,38.4,15,17.4,10,1.80,5,0.01,10,292.3,0,1.8,2,15,10,O,10,72,,=W2+X2,
2,"Sun Communities, Inc.",SUI,NYQ,10.9,2,20.7,15,5.7,7,2.26,5,0.14,10,81.4,4,6.6,7,9,8,O,10,68,,=W3+X3,
3,"The Hartford Insurance Group, I",HIG,NYQ,9.3,5,21.5,15,15.3,10,1.99,5,0.27,10,357.0,0,1.6,2,13,10,O,10,67,,=W4+X4,
4,"The Travelers Companies, Inc.",TRV,NYQ,8.6,5,23.8,15,16.3,10,2.04,5,0.26,10,344.9,0,1.5,2,20,10,O,10,67,,=W5+X5,
5,Arch Capital Group Ltd. - Depos,ACGLO,NMS,1.7,10,20.1,15,75.1,10,0.34,5,0.02,10,236.7,0,6.7,7,0,0,O,10,67,,=W6+X6,
6,"BCE, Inc.",BCE,NYQ,4.9,10,28.1,15,14.7,10,1.54,5,0.16,10,247.0,0,6.9,7,0,0,O,10,67,,=W7+X7,
7,Novo Nordisk A/S,NVO,NYQ,10.6,2,60.1,15,14.2,10,6.36,3,0.45,10,175.4,2,3.7,5,7,8,O,10,65,,=W8+X8,
8,"McCormick & Company, Incorporat",MKC,NYQ,7.6,7,23.6,15,5.9,7,1.80,5,1.47,4,125.9,2,3.9,5,27,10,O,10,65,,=W9+X9,
9,"McCormick & Company, Incorporat",MKC-V,NYQ,7.6,7,23.6,15,5.9,7,1.79,5,1.47,4,125.9,2,3.9,5,22,10,O,10,65,,=W10+X10,
10,Itau Unibanco Banco Holding SA,ITUB,NYQ,9.6,5,21.9,15,62.5,10,2.11,5,0.66,7,1394.2,0,9.8,10,4,3,O,10,65,,=W11+X11,
11,Comcast Corporation,CMCSA,NMS,4.8,10,21.3,15,21.1,10,1.03,5,0.08,10,194.2,2,4.8,5,6,6,X,0,63,,=W12+X12,
12,RenaissanceRe Holdings Ltd.,RNR,NYQ,4.4,10,24.4,15,30.1,10,1.07,5,0.04,10,305.4,0,0.4,2,0,0,O,10,62,,=W13+X13,
13,Booz Allen Hamilton Holding Cor,BAH,NYQ,11.4,2,81.8,15,9.5,10,9.35,3,0.41,10,587.9,0,2.8,2,10,10,O,10,62,,=W14+X14,
14,Synchrony Financial,SYF,NYQ,6.8,7,21.8,15,40.0,10,1.50,5,0.47,10,637.4,0,1.6,2,4,3,O,10,62,,=W15+X15,
15,SEI Investments Company,SEIC,NMS,15.5,0,30.1,15,4.9,4,4.66,3,0.88,7,21.2,10,1.1,2,12,10,O,10,61,,=W16+X16,
16,ResMed Inc.,RMD,NYQ,19.4,0,23.4,15,5.6,7,4.54,3,0.67,7,35.3,7,1.1,2,13,10,O,10,61,,=W17+X17,
17,"General Mills, Inc.",GIS,NYQ,8.0,5,23.7,15,12.9,10,1.91,5,-,0,246.7,0,7.3,10,6,6,O,10,61,,=W18+X18,
18,"Leidos Holdings, Inc.",LDOS,NYQ,11.4,2,28.2,15,10.1,10,3.21,3,0.37,10,205.9,0,1.3,2,7,8,O,10,60,,=W19+X19,
19,International Business Machines,IBM,NYQ,19.3,0,32.6,15,5.5,7,6.31,3,0.23,10,373.5,0,3.1,5,30,10,O,10,60,,=W20+X20,
20,VICI Properties Inc.,VICI,NYQ,9.6,5,11.0,5,8.4,10,1.06,0,0.35,10,65.5,4,6.3,7,7,8,O,10,59,,=W21+X21,
21,"PayPal Holdings, Inc.",PYPL,NMS,8.2,5,25.3,15,13.4,10,2.07,5,0.22,10,302.2,0,0.3,2,0,0,O,10,57,,=W22+X22,
22,Old Republic International Corp,ORI,NYQ,9.6,5,17.3,10,11.9,10,1.65,5,0.53,7,400.4,0,8.1,10,2,0,O,10,57,,=W23+X23,
23,"NetEase, Inc.",NTES,NMS,15.1,0,21.1,15,64.9,10,15.73,3,0.78,7,35.1,7,2.6,2,4,3,O,10,57,,=W24+X24,
24,"Virtu Financial, Inc.",VIRT,NYQ,9.2,5,29.6,15,10.6,10,2.71,5,0.33,10,1148.8,0,1.9,2,0,0,O,10,57,,=W25+X25,
25,Fox Corporation,FOX,NMS,13.7,2,17.3,10,11.6,10,2.36,2,0.42,10,94.7,4,0.9,2,5,6,O,10,56,,=W26+X26,
26,"Dillard's, Inc.",DDS,NYQ,16.5,0,32.1,15,6.6,7,5.29,3,-,0,97.0,4,5.2,7,12,10,O,10,56,,=W27+X27,
27,영원무역홀딩스,009970,KOSPI/KOSDAQ,3.9,10,12.0,5,-10.5,0,0.47,4,0.18,10,31.9,7,2.6,2,9,8,O,10,56,,=W28+X28,
28,"Gilead Sciences, Inc.",GILD,NMS,19.4,0,37.5,15,5.7,7,7.29,3,0.84,7,160.4,2,2.4,2,10,10,O,10,56,,=W29+X29,
29,"Toll Brothers, Inc.",TOL,NYQ,9.2,5,16.4,10,8.1,10,1.51,5,1.25,4,71.5,4,0.7,2,5,6,O,10,56,,=W30+X30,
30,Kinross Gold Corporation,KGC,NYQ,13.0,2,31.5,15,6.9,7,4.09,3,0.10,10,40.3,7,0.3,2,0,0,O,10,56,,=W31+X31,
