순위,종목명,종목코드,시장,PER,PER점수(/20),PBR,PBR점수(/5),배당수익률(%),배당수익률점수(/10),분기배당,분기배당점수(/5),배당연속인상(년),배당인상점수(/5),자사주비율(%),자사주비율점수(/5),자사주매입소각,매입소각점수(/7),이익_지속가능성(5),중복_상장여부(5),연간_소각비율(8),미래_성장잠재력(10),기업_경영(10),세계적_브랜드(5),정량합계,정성합계,최종점수,메모
107,Domino's Pizza Inc,DPZ,NMS,21.1,5,-,0,1.9,2,O,5,12,5,0.0,5,O,7,,,,,,,29,=SUM(S108:X108),=Y108+Z108,
108,"Houlihan Lokey, Inc.",HLI,NYQ,22.9,5,4.48,0,1.6,2,O,5,10,5,0.0,5,O,7,,,,,,,29,=SUM(S109:X109),=Y109+Z109,
109,"Watts Water Technologies, Inc.",WTS,NYQ,29.9,5,5.03,0,0.7,2,O,5,13,5,0.0,5,O,7,,,,,,,29,=SUM(S110:X110),=Y110+Z110,
110,SouthState Bank Corporation,SSB,NYQ,12.5,5,1.10,0,2.3,2,O,5,14,5,0.0,5,O,7,,,,,,,29,=SUM(S111:X111),=Y111+Z111,
111,Toro Company (The),TTC,NYQ,29.1,5,6.80,0,1.6,2,O,5,23,5,0.0,5,O,7,,,,,,,29,=SUM(S112:X112),=Y112+Z112,
112,"Dillard's, Inc.",DDS,NYQ,16.6,5,5.32,0,5.1,7,O,5,12,5,87.4,0,O,7,,,,,,,29,=SUM(S113:X113),=Y113+Z113,
113,"Leidos Holdings, Inc.",LDOS,NYQ,13.9,5,4.08,0,1.0,2,O,5,7,4,0.0,5,O,7,,,,,,,28,=SUM(S114:X114),=Y114+Z114,
114,"Toll Brothers, Inc.",TOL,NYQ,9.8,10,1.61,0,0.7,2,O,5,5,4,7.8,0,O,7,,,,,,,28,=SUM(S115:X115),=Y115+Z115,
115,"First Citizens BancShares, Inc.",FCNCA,NMS,11.2,5,1.11,0,0.4,2,O,5,9,4,0.0,5,O,7,,,,,,,28,=SUM(S116:X116),=Y116+Z116,
116,Lockheed Martin Corporation,LMT,NYQ,28.8,5,21.53,0,2.1,2,O,5,23,5,0.4,4,O,7,,,,,,,28,=SUM(S117:X117),=Y117+Z117,
117,GS,078930,KOSPI/KOSDAQ,6.4,15,0.35,4,4.2,5,X,0,2,0,0.0,4,X,0,,,,,,,28,=SUM(S118:X118),=Y118+Z118,
118,"Western Midstream Partners, LP",WES,NYQ,14.0,5,-,0,8.8,10,O,5,4,3,0.0,5,X,0,,,,,,,28,=SUM(S119:X119),=Y119+Z119,
119,"BlackRock, Inc.",BLK,NYQ,29.8,5,2.96,0,2.1,2,O,5,16,5,0.7,4,O,7,,,,,,,28,=SUM(S120:X120),=Y120+Z120,
120,Amphenol Corporation,APH,NYQ,41.5,5,13.23,0,0.5,2,O,5,14,5,0.2,4,O,7,,,,,,,28,=SUM(S121:X121),=Y121+Z121,
121,Wintrust Financial Corporation,WTFC,NMS,12.2,5,1.38,0,1.4,2,O,5,12,5,0.1,4,O,7,,,,,,,28,=SUM(S122:X122),=Y122+Z122,
122,"TJX Companies, Inc. (The)",TJX,NYQ,33.8,5,18.22,0,1.0,2,O,5,5,4,0.0,5,O,7,,,,,,,28,=SUM(S123:X123),=Y123+Z123,
123,기업은행,024110,KOSPI/KOSDAQ,6.6,15,0.50,4,4.8,5,X,0,0,0,0.0,4,X,0,,,,,,,28,=SUM(S124:X124),=Y124+Z124,
124,"Williams-Sonoma, Inc.",WSM,NYQ,21.3,5,11.12,0,1.3,2,O,5,19,5,0.0,4,O,7,,,,,,,28,=SUM(S125:X125),=Y125+Z125,
125,Sherwin-Williams Company (The),SHW,NYQ,32.5,5,18.17,0,0.9,2,O,5,40,5,0.4,4,O,7,,,,,,,28,=SUM(S126:X126),=Y126+Z126,
126,"Ross Stores, Inc.",ROST,NMS,48.3,5,12.32,0,0.7,2,O,5,5,4,0.0,5,O,7,,,,,,,28,=SUM(S127:X127),=Y127+Z127,
127,"Old Dominion Freight Line, Inc.",ODFL,NMS,43.0,5,10.20,0,0.5,2,O,5,8,4,0.0,5,O,7,,,,,,,28,=SUM(S128:X128),=Y128+Z128,
