순위,종목명,종목코드,시장,PER,PER점수(/20),PBR,PBR점수(/5),배당수익률(%),배당수익률점수(/10),분기배당,분기배당점수(/5),배당연속인상(년),배당인상점수(/5),자사주비율(%),자사주비율점수(/5),자사주매입소각,매입소각점수(/7),이익_지속가능성(5),중복_상장여부(5),연간_소각비율(8),미래_성장잠재력(10),기업_경영(10),세계적_브랜드(5),정량합계,정성합계,최종점수,메모
12,"T. Rowe Price Group, Inc.",TROW,NMS,9.6,10,1.85,0,5.5,7,O,5,3,3,0.0,5,O,7,,,,,,,37,=SUM(S13:X13),=Y13+Z13,
13,"McCormick & Company, Incorporat",MKC-V,NYQ,8.4,10,2.00,0,3.5,5,O,5,22,5,0.0,5,O,7,,,,,,,37,=SUM(S14:X14),=Y14+Z14,
14,Edison International,EIX,NYQ,6.2,15,1.66,0,4.4,5,O,5,1,0,0.0,5,O,7,,,,,,,37,=SUM(S15:X15),=Y15+Z15,
15,"McCormick & Company, Incorporat",MKC,NYQ,8.4,10,1.99,0,3.6,5,O,5,27,5,0.0,5,O,7,,,,,,,37,=SUM(S16:X16),=Y16+Z16,
16,하나금융지주,086790,KOSPI/KOSDAQ,8.1,10,0.73,3,3.4,5,O,5,5,4,2.8,2,O,7,,,,,,,36,=SUM(S17:X17),=Y17+Z17,
17,"Rogers Communication, Inc.",RCI,NYQ,3.6,20,1.39,0,3.3,5,O,5,0,0,0.0,5,X,0,,,,,,,35,=SUM(S18:X18),=Y18+Z18,
18,MPLX LP,MPLX,NYQ,11.7,5,-,0,7.0,10,O,5,3,3,0.0,5,O,7,,,,,,,35,=SUM(S19:X19),=Y19+Z19,
19,Blue Owl Capital Inc.,OWL,NYQ,69.9,5,2.50,0,10.3,10,O,5,4,3,0.0,5,O,7,,,,,,,35,=SUM(S20:X20),=Y20+Z20,
20,iM금융지주,139130,KOSPI/KOSDAQ,6.3,15,0.45,4,3.9,5,X,0,1,0,0.8,4,O,7,,,,,,,35,=SUM(S21:X21),=Y21+Z21,
21,신한지주,055550,KOSPI/KOSDAQ,9.2,10,0.77,3,2.6,2,O,5,5,4,0.8,4,O,7,,,,,,,35,=SUM(S22:X22),=Y22+Z22,
22,Itau Unibanco Banco Holding SA,ITUB,NYQ,11.6,5,2.50,0,8.8,10,O,5,4,3,0.0,4,O,7,,,,,,,34,=SUM(S23:X23),=Y23+Z23,
23,한국전력공사,015760,KOSPI/KOSDAQ,3.2,20,0.58,4,3.6,5,X,0,1,0,0.0,5,X,0,,,,,,,34,=SUM(S24:X24),=Y24+Z24,
24,"Prudential Financial, Inc.",PRU,NYQ,9.5,10,1.05,0,5.6,7,O,5,17,5,47.6,0,O,7,,,,,,,34,=SUM(S25:X25),=Y25+Z25,
25,Enterprise Products Partners L.,EPD,NYQ,14.1,5,-,0,5.8,7,O,5,27,5,0.0,5,O,7,,,,,,,34,=SUM(S26:X26),=Y26+Z26,
26,Allstate Corporation (The),ALL,NYQ,5.5,15,1.86,0,1.9,2,O,5,15,5,70.7,0,O,7,,,,,,,34,=SUM(S27:X27),=Y27+Z27,
27,"Universal Health Services, Inc.",UHS,NYQ,8.0,15,1.63,0,0.4,2,O,5,0,0,0.0,5,O,7,,,,,,,34,=SUM(S28:X28),=Y28+Z28,
28,RenaissanceRe Holdings Ltd.,RNR,NYQ,5.1,15,1.18,0,0.4,2,O,5,0,0,0.0,5,O,7,,,,,,,34,=SUM(S29:X29),=Y29+Z29,
29,"Sun Communities, Inc.",SUI,NYQ,11.6,5,2.27,0,6.3,7,O,5,9,4,0.0,5,O,7,,,,,,,33,=SUM(S30:X30),=Y30+Z30,
30,"General Mills, Inc.",GIS,NYQ,8.9,10,2.11,0,6.6,7,O,5,6,4,29.1,0,O,7,,,,,,,33,=SUM(S31:X31),=Y31+Z31,
31,"United Parcel Service, Inc.",UPS,NYQ,15.6,5,5.34,0,6.5,7,O,5,16,5,0.0,4,O,7,,,,,,,33,=SUM(S32:X32),=Y32+Z32,
32,Ares Capital Corporation,ARCC,NMS,9.9,10,0.90,3,10.7,10,O,5,0,0,0.0,5,X,0,,,,,,,33,=SUM(S33:X33),=Y33+Z33,
33,VICI Properties Inc.,VICI,NYQ,10.8,5,1.08,0,6.3,7,O,5,7,4,0.0,5,O,7,,,,,,,33,=SUM(S34:X34),=Y34+Z34,
34,"Best Buy Co., Inc.",BBY,NYQ,12.7,5,4.60,0,5.9,7,O,5,8,4,0.0,5,O,7,,,,,,,33,=SUM(S35:X35),=Y35+Z35,
35,Energy Transfer LP,ET,NYQ,14.9,5,-,0,6.9,7,O,5,4,3,0.0,5,O,7,,,,,,,32,=SUM(S36:X36),=Y36+Z36,
36,Old Republic International Corp,ORI,NYQ,11.2,5,1.77,0,7.6,10,O,5,2,0,0.0,5,O,7,,,,,,,32,=SUM(S37:X37),=Y37+Z37,
37,"UDR, Inc.",UDR,NYQ,30.7,5,3.53,0,4.9,5,O,5,16,5,0.0,5,O,7,,,,,,,32,=SUM(S38:X38),=Y38+Z38,
38,Mid-America Apartment Communiti,MAA,NYQ,32.9,5,2.59,0,4.8,5,O,5,15,5,0.0,5,O,7,,,,,,,32,=SUM(S39:X39),=Y39+Z39,
39,Synchrony Financial,SYF,NYQ,7.3,15,1.55,0,1.6,2,O,5,4,3,57.7,0,O,7,,,,,,,32,=SUM(S40:X40),=Y40+Z40,
40,"Nike, Inc.",NKE,NYQ,29.0,5,4.63,0,3.7,5,O,5,24,5,0.0,5,O,7,,,,,,,32,=SUM(S41:X41),=Y41+Z41,
41,"WEC Energy Group, Inc.",WEC,NYQ,25.0,5,2.85,0,3.0,5,O,5,22,5,0.0,5,O,7,,,,,,,32,=SUM(S42:X42),=Y42+Z42,
42,"Healthpeak Properties, Inc.",DOC,NYQ,162.6,5,1.55,0,7.3,10,O,5,1,0,0.0,5,O,7,,,,,,,32,=SUM(S43:X43),=Y43+Z43,
43,Agree Realty Corporation,ADC,NYQ,43.9,5,1.43,0,4.0,5,O,5,13,5,0.0,5,O,7,,,,,,,32,=SUM(S44:X44),=Y44+Z44,
44,Target Corporation,TGT,NYQ,15.2,5,3.49,0,3.6,5,O,5,42,5,0.0,5,O,7,,,,,,,32,=SUM(S45:X45),=Y45+Z45,
45,"Plains All American Pipeline, L",PAA,NMS,10.8,5,-,0,6.9,7,O,5,4,3,0.0,5,O,7,,,,,,,32,=SUM(S46:X46),=Y46+Z46,
46,케이티,030200,KOSPI/KOSDAQ,8.2,10,0.78,3,3.9,5,O,5,2,0,4.3,2,O,7,,,,,,,32,=SUM(S47:X47),=Y47+Z47,
47,"Paychex, Inc.",PAYX,NMS,19.3,5,7.87,0,4.8,5,O,5,12,5,0.0,5,O,7,,,,,,,32,=SUM(S48:X48),=Y48+Z48,
48,"Essential Utilities, Inc.",WTRG,NYQ,18.9,5,1.70,0,3.3,5,O,5,34,5,1.2,4,O,7,,,,,,,31,=SUM(S49:X49),=Y49+Z49,
49,Keurig Dr Pepper Inc.,KDP,NMS,17.3,5,1.41,0,3.5,5,O,5,5,4,0.0,5,O,7,,,,,,,31,=SUM(S50:X50),=Y50+Z50,
50,Banco Bradesco Sa,BBDO,NYQ,8.6,10,1.09,0,4.3,5,O,5,1,0,0.3,4,O,7,,,,,,,31,=SUM(S51:X51),=Y51+Z51,
51,Banco Bradesco Sa,BBD,NYQ,9.7,10,1.22,0,4.2,5,O,5,1,0,0.3,4,O,7,,,,,,,31,=SUM(S52:X52),=Y52+Z52,
52,American Homes 4 Rent,AMH,NYQ,24.2,5,1.56,0,4.1,5,O,5,5,4,0.0,5,O,7,,,,,,,31,=SUM(S53:X53),=Y53+Z53,
53,CNA Financial Corporation,CNA,NYQ,10.1,5,1.11,0,8.1,10,O,5,2,0,0.9,4,O,7,,,,,,,31,=SUM(S54:X54),=Y54+Z54,
54,"Penske Automotive Group, Inc.",PAG,NYQ,10.9,5,1.84,0,3.3,5,O,5,5,4,0.0,5,O,7,,,,,,,31,=SUM(S55:X55),=Y55+Z55,
55,Medtronic plc.,MDT,NYQ,24.6,5,2.31,0,3.2,5,O,5,7,4,0.0,5,O,7,,,,,,,31,=SUM(S56:X56),=Y56+Z56,
56,KB금융,105560,KOSPI/KOSDAQ,9.6,10,0.91,3,2.8,2,O,5,5,4,6.1,0,O,7,,,,,,,31,=SUM(S57:X57),=Y57+Z57,
57,기아,000270,KOSPI/KOSDAQ,7.7,15,0.99,3,4.4,5,X,0,5,4,0.5,4,X,0,,,,,,,31,=SUM(S58:X58),=Y58+Z58,
58,Regency Centers Corporation,REG,NMS,27.2,5,2.08,0,3.7,5,O,5,12,5,0.3,4,O,7,,,,,,,31,=SUM(S59:X59),=Y59+Z59,
59,HD현대,267250,KOSPI/KOSDAQ,4.8,20,0.62,3,1.6,2,O,5,1,0,10.5,0,X,0,,,,,,,30,=SUM(S60:X60),=Y60+Z60,
60,Petroleo Brasileiro S.A. Petrob,PBR,NYQ,6.8,15,3.33,0,4.0,5,O,5,0,0,0.0,5,X,0,,,,,,,30,=SUM(S61:X61),=Y61+Z61,
61,Truist Financial Corporation,TFC,NYQ,12.2,5,1.00,3,4.1,5,O,5,0,0,0.0,5,O,7,,,,,,,30,=SUM(S62:X62),=Y62+Z62,
62,"AvalonBay Communities, Inc.",AVB,NYQ,22.8,5,2.06,0,4.2,5,O,5,3,3,0.0,5,O,7,,,,,,,30,=SUM(S63:X63),=Y63+Z63,
63,Trip.com Group Limited,TCOM,NMS,7.4,15,1.36,0,0.6,2,X,0,0,0,0.0,5,O,7,,,,,,,29,=SUM(S64:X64),=Y64+Z64,
64,Microsoft Corporation,MSFT,NMS,23.3,5,7.12,0,0.9,2,O,5,20,5,0.0,5,O,7,,,,,,,29,=SUM(S65:X65),=Y65+Z65,
65,Walmart Inc.,WMT,NMS,47.2,5,10.38,0,0.7,2,O,5,43,5,0.0,5,O,7,,,,,,,29,=SUM(S66:X66),=Y66+Z66,
66,Visa Inc.,V,NYQ,32.0,5,17.17,0,0.8,2,O,5,17,5,0.0,5,O,7,,,,,,,29,=SUM(S67:X67),=Y67+Z67,
67,Bank of America Corporation,BAC,NYQ,13.0,5,1.31,0,2.0,2,O,5,12,5,0.0,5,O,7,,,,,,,29,=SUM(S68:X68),=Y68+Z68,
68,AbbVie Inc.,ABBV,NYQ,89.2,5,-,0,3.1,5,O,5,12,5,3.8,2,O,7,,,,,,,29,=SUM(S69:X69),=Y69+Z69,
69,"Cisco Systems, Inc.",CSCO,NMS,29.9,5,6.94,0,2.0,2,O,5,14,5,0.0,5,O,7,,,,,,,29,=SUM(S70:X70),=Y70+Z70,
70,UnitedHealth Group Incorporated,UNH,NYQ,23.2,5,2.97,0,2.8,2,O,5,16,5,0.0,5,O,7,,,,,,,29,=SUM(S71:X71),=Y71+Z71,
71,Shell PLC,SHEL,NYQ,15.1,5,1.54,0,3.1,5,O,5,3,3,1.0,4,O,7,,,,,,,29,=SUM(S72:X72),=Y72+Z72,
72,KLA Corporation,KLAC,NMS,50.0,5,41.72,0,0.4,2,O,5,10,5,0.0,5,O,7,,,,,,,29,=SUM(S73:X73),=Y73+Z73,
