순위,종목명,종목코드,시장,PER,PER점수(/20),PBR,PBR점수(/5),배당수익률(%),배당수익률점수(/10),분기배당,분기배당점수(/5),배당연속인상(년),배당인상점수(/5),자사주비율(%),자사주비율점수(/5),자사주매입소각,매입소각점수(/7),정량합계,이익_지속가능성(5),중복_상장여부(5),연간_소각비율(8),미래_성장잠재력(10),기업_경영(10),세계적_브랜드(5),최종_예상점수,메모
66,Broadcom Inc.,AVGO,NMS,68.6,5,21.46,0,0.7,2,O,5,6,4,0.0,5,O,7,28,,,,,,,=S67+SUM(T67:Y67),
67,"Yum! Brands, Inc.",YUM,NYQ,28.8,5,-,0,1.8,2,O,5,8,4,0.0,5,O,7,28,,,,,,,=S68+SUM(T68:Y68),
68,기업은행,024110,KOSPI/KOSDAQ,6.4,15,0.49,4,4.9,5,X,0,0,0,0.0,4,X,0,28,,,,,,,=S69+SUM(T69:Y69),
69,"BlackRock, Inc.",BLK,NYQ,29.8,5,2.96,0,2.1,2,O,5,16,5,0.7,4,O,7,28,,,,,,,=S70+SUM(T70:Y70),
70,Lockheed Martin Corporation,LMT,NYQ,29.1,5,21.69,0,2.1,2,O,5,23,5,0.4,4,O,7,28,,,,,,,=S71+SUM(T71:Y71),
71,"Motorola Solutions, Inc.",MSI,NYQ,34.9,5,31.23,0,1.0,2,O,5,14,5,1.0,4,O,7,28,,,,,,,=S72+SUM(T72:Y72),
72,"Old Dominion Freight Line, Inc.",ODFL,NMS,42.6,5,10.10,0,0.5,2,O,5,8,4,0.0,5,O,7,28,,,,,,,=S73+SUM(T73:Y73),
73,"Monolithic Power Systems, Inc.",MPWR,NMS,103.9,5,18.28,0,0.5,2,O,5,8,4,0.0,5,O,7,28,,,,,,,=S74+SUM(T74:Y74),
74,"Corteva, Inc.",CTVA,NYQ,51.8,5,2.35,0,0.8,2,O,5,6,4,0.0,5,O,7,28,,,,,,,=S75+SUM(T75:Y75),
75,"Ross Stores, Inc.",ROST,NMS,48.2,5,12.29,0,0.7,2,O,5,5,4,0.0,5,O,7,28,,,,,,,=S76+SUM(T76:Y76),
76,Amphenol Corporation,APH,NYQ,40.8,5,13.00,0,0.6,2,O,5,14,5,0.2,4,O,7,28,,,,,,,=S77+SUM(T77:Y77),
77,KKR & Co. Inc.,KKR,NYQ,37.9,5,2.91,0,0.8,2,O,5,6,4,0.0,5,O,7,28,,,,,,,=S78+SUM(T78:Y78),
78,"TJX Companies, Inc. (The)",TJX,NYQ,33.1,5,17.85,0,1.0,2,O,5,5,4,0.0,5,O,7,28,,,,,,,=S79+SUM(T79:Y79),
79,"HCA Healthcare, Inc.",HCA,NYQ,17.2,5,-,0,0.6,2,O,5,5,4,0.0,5,O,7,28,,,,,,,=S80+SUM(T80:Y80),
80,GS,078930,KOSPI/KOSDAQ,6.2,15,0.34,4,4.3,5,X,0,2,0,0.0,4,X,0,28,,,,,,,=S81+SUM(T81:Y81),
81,Howmet Aerospace Inc.,HWM,NYQ,67.0,5,18.87,0,0.2,2,O,5,5,4,0.0,5,O,7,28,,,,,,,=S82+SUM(T82:Y82),
82,"Tapestry, Inc.",TPR,NYQ,60.5,5,57.31,0,1.0,2,O,5,5,4,0.0,5,O,7,28,,,,,,,=S83+SUM(T83:Y83),
83,Constellation Energy Corporatio,CEG,NMS,38.4,5,6.13,0,0.5,2,O,5,3,3,0.0,5,O,7,27,,,,,,,=S84+SUM(T84:Y84),
84,효성,004800,KOSPI/KOSDAQ,5.9,15,0.94,3,3.3,5,X,0,1,0,0.1,4,X,0,27,,,,,,,=S85+SUM(T85:Y85),
85,Garmin Ltd.,GRMN,NYQ,29.4,5,5.46,0,1.4,2,O,5,8,4,1.2,4,O,7,27,,,,,,,=S86+SUM(T86:Y86),
86,U.S. Bancorp,USB,NYQ,11.4,5,1.32,0,3.7,5,O,5,15,5,26.8,0,O,7,27,,,,,,,=S87+SUM(T87:Y87),
87,"NetEase, Inc.",NTES,NMS,15.0,5,15.66,0,2.7,2,O,5,4,3,0.0,5,O,7,27,,,,,,,=S88+SUM(T88:Y88),
88,DB손해보험,005830,KOSPI/KOSDAQ,5.5,15,0.97,3,4.2,5,X,0,6,4,12.6,0,X,0,27,,,,,,,=S89+SUM(T89:Y89),
89,American Express Company,AXP,NYQ,20.1,5,6.50,0,1.0,2,O,5,4,3,0.0,5,O,7,27,,,,,,,=S90+SUM(T90:Y90),
90,"Mondelez International, Inc.",MDLZ,NMS,31.0,5,2.94,0,3.3,5,O,5,11,5,35.6,0,O,7,27,,,,,,,=S91+SUM(T91:Y91),
91,Extra Space Storage Inc,EXR,NYQ,31.3,5,2.27,0,4.7,5,O,5,0,0,0.0,5,O,7,27,,,,,,,=S92+SUM(T92:Y92),
92,"MetLife, Inc.",MET,NYQ,14.6,5,1.73,0,3.0,5,O,5,13,5,44.9,0,O,7,27,,,,,,,=S93+SUM(T93:Y93),
93,Marriott International,MAR,NMS,36.1,5,-,0,0.8,2,O,5,3,3,0.0,5,O,7,27,,,,,,,=S94+SUM(T94:Y94),
94,"ONEOK, Inc.",OKE,NYQ,16.1,5,2.44,0,4.7,5,O,5,3,3,4.0,2,O,7,27,,,,,,,=S95+SUM(T95:Y95),
95,Fifth Third Bancorp,FITB,NMS,13.1,5,1.52,0,3.1,5,O,5,15,5,28.2,0,O,7,27,,,,,,,=S96+SUM(T96:Y96),
96,Ferrovial SE,FER,NMS,50.2,5,7.40,0,1.4,2,O,5,5,4,1.8,4,O,7,27,,,,,,,=S97+SUM(T97:Y97),
97,Baker Hughes Company,BKR,NMS,24.3,5,3.33,0,1.5,2,O,5,4,3,0.0,5,O,7,27,,,,,,,=S98+SUM(T98:Y98),
98,"Automatic Data Processing, Inc.",ADP,NMS,19.2,5,12.71,0,3.1,5,O,5,23,5,36.8,0,O,7,27,,,,,,,=S99+SUM(T99:Y99),
99,GE Aerospace,GE,NYQ,37.5,5,17.46,0,0.5,2,O,5,3,3,0.0,5,O,7,27,,,,,,,=S100+SUM(T100:Y100),
100,Chevron Corporation,CVX,NYQ,31.3,5,2.07,0,3.5,5,O,5,38,5,18.8,0,O,7,27,,,,,,,=S101+SUM(T101:Y101),
101,"Pepsico, Inc.",PEP,NMS,25.8,5,10.40,0,3.6,5,O,5,27,5,26.7,0,O,7,27,,,,,,,=S102+SUM(T102:Y102),
102,AT&T Inc.,T,NYQ,8.9,10,1.76,0,4.1,5,O,5,0,0,7.6,0,O,7,27,,,,,,,=S103+SUM(T103:Y103),
103,General Motors Company,GM,NYQ,25.7,5,1.14,0,0.7,2,O,5,3,3,0.0,5,O,7,27,,,,,,,=S104+SUM(T104:Y104),
104,Blackstone Inc.,BX,NYQ,30.5,5,10.64,0,4.0,5,O,5,2,0,0.0,5,O,7,27,,,,,,,=S105+SUM(T105:Y105),
105,"Apollo Global Management, Inc. ",APO,NYQ,17.7,5,2.65,0,1.9,2,O,5,3,3,0.0,5,O,7,27,,,,,,,=S106+SUM(T106:Y106),
