순위,종목명,종목코드,시장,PER,PER점수(/10),ROE(%),ROE점수(/15),FCF수익률(%),FCF점수(/10),PBR,PBR점수(/5),PEG,PEG점수(/10),부채비율(%),부채비율점수(/10),배당수익률(%),배당수익률점수(/10),배당성장연수(년),배당성장점수(/10),소각여부,소각점수(/10),정량합계,경제적해자(0~10직접입력),최종예상점수,메모
1,Allstate Corporation (The),ALL,NYQ,4.6,10,38.4,15,17.5,10,1.78,5,0.01,10,292.3,0,1.9,2,15,10,O,10,72,,=W2+X2,
2,"Sun Communities, Inc.",SUI,NYQ,11.3,2,20.7,15,5.5,7,2.35,5,0.15,10,81.4,4,6.4,7,9,8,O,10,68,,=W3+X3,
3,"The Hartford Insurance Group, I",HIG,NYQ,9.4,5,21.5,15,15.1,10,2.02,5,0.27,10,357.0,0,1.6,2,13,10,O,10,67,,=W4+X4,
4,"BCE, Inc.",BCE,NYQ,5.0,10,27.6,15,14.5,10,1.56,5,0.16,10,247.1,0,6.8,7,0,0,O,10,67,,=W5+X5,
5,Arch Capital Group Ltd. - Depos,ACGLO,NMS,1.6,10,20.1,15,76.8,10,0.33,5,0.02,10,236.7,0,6.9,7,0,0,O,10,67,,=W6+X6,
6,"The Travelers Companies, Inc.",TRV,NYQ,8.8,5,23.8,15,15.8,10,2.10,5,0.27,10,344.9,0,1.4,2,20,10,O,10,67,,=W7+X7,
7,Itau Unibanco Banco Holding SA,ITUB,NYQ,9.9,5,21.9,15,30.8,10,2.13,5,0.67,7,1407.3,0,9.9,10,4,3,O,10,65,,=W8+X8,
8,Novo Nordisk A/S,NVO,NYQ,10.4,2,60.1,15,14.7,10,6.25,3,0.44,10,175.4,2,3.8,5,7,8,O,10,65,,=W9+X9,
9,"McCormick & Company, Incorporat",MKC-V,NYQ,7.7,7,23.6,15,5.8,7,1.82,5,1.49,4,125.9,2,3.9,5,22,10,O,10,65,,=W10+X10,
10,"McCormick & Company, Incorporat",MKC,NYQ,7.7,7,23.6,15,5.9,7,1.81,5,1.49,4,125.9,2,3.9,5,27,10,O,10,65,,=W11+X11,
11,Comcast Corporation,CMCSA,NMS,4.8,10,21.3,15,21.2,10,1.03,5,0.07,10,194.2,2,4.9,5,6,6,X,0,63,,=W12+X12,
12,Booz Allen Hamilton Holding Cor,BAH,NYQ,11.4,2,81.8,15,9.5,10,9.35,3,0.41,10,587.9,0,2.8,2,10,10,O,10,62,,=W13+X13,
13,Synchrony Financial,SYF,NYQ,6.9,7,21.8,15,39.5,10,1.51,5,0.47,10,637.4,0,1.6,2,4,3,O,10,62,,=W14+X14,
14,RenaissanceRe Holdings Ltd.,RNR,NYQ,4.6,10,24.4,15,28.8,10,1.11,5,0.05,10,305.4,0,0.4,2,0,0,O,10,62,,=W15+X15,
15,SEI Investments Company,SEIC,NMS,15.1,0,30.1,15,5.0,4,4.55,3,0.86,7,21.2,10,1.1,2,12,10,O,10,61,,=W16+X16,
16,"General Mills, Inc.",GIS,NYQ,8.1,5,23.7,15,12.8,10,1.92,5,-,0,246.7,0,7.2,10,6,6,O,10,61,,=W17+X17,
17,Trip.com Group Limited,TCOM,NMS,6.9,7,19.5,10,40.3,10,1.26,5,0.04,10,55.4,7,0.6,2,0,0,O,10,61,,=W18+X18,
18,"Universal Health Services, Inc.",UHS,NYQ,6.6,7,20.4,15,8.2,10,1.34,5,0.18,10,108.2,2,0.5,2,0,0,O,10,61,,=W19+X19,
19,ResMed Inc.,RMD,NYQ,20.0,0,23.4,15,5.4,7,4.69,3,0.70,7,35.3,7,1.1,2,13,10,O,10,61,,=W20+X20,
20,"Leidos Holdings, Inc.",LDOS,NYQ,11.1,2,28.2,15,10.3,10,3.14,3,0.36,10,205.9,0,1.3,2,7,8,O,10,60,,=W21+X21,
21,"NetEase, Inc.",NTES,NMS,14.7,2,20.7,15,66.0,10,15.49,3,0.76,7,37.7,7,2.7,2,4,3,O,10,59,,=W22+X22,
22,VICI Properties Inc.,VICI,NYQ,9.8,5,11.0,5,8.2,10,1.08,0,0.36,10,65.5,4,6.2,7,7,8,O,10,59,,=W23+X23,
23,Barrick Mining Corporation,B,NYQ,11.3,2,22.4,15,5.6,7,2.53,5,0.09,10,57.8,7,1.3,2,1,0,O,10,58,,=W24+X24,
24,Intuit Inc.,INTU,NMS,18.5,0,22.2,15,7.2,7,4.11,3,0.79,7,90.7,4,1.4,2,14,10,O,10,58,,=W25+X25,
25,Old Republic International Corp,ORI,NYQ,9.7,5,17.3,10,11.8,10,1.67,5,0.54,7,400.4,0,8.0,10,2,0,O,10,57,,=W26+X26,
