순위,종목명,종목코드,시장,PER,PER점수(/10),ROE(%),ROE점수(/15),FCF수익률(%),FCF점수(/10),PBR,PBR점수(/5),PEG,PEG점수(/10),부채비율(%),부채비율점수(/10),배당수익률(%),배당수익률점수(/10),배당성장연수(년),배당성장점수(/10),소각여부,소각점수(/10),정량합계,경제적해자(0~10직접입력),최종예상점수,메모
1,Allstate Corporation (The),ALL,NYQ,4.7,10,38.4,15,17.3,10,1.81,5,0.01,10,292.3,0,1.8,2,15,10,O,10,72,,=W2+X2,
2,"Sun Communities, Inc.",SUI,NYQ,11.5,2,20.7,15,5.4,7,2.38,5,0.15,10,81.4,4,6.3,7,9,8,O,10,68,,=W3+X3,
3,"The Travelers Companies, Inc.",TRV,NYQ,8.8,5,23.8,15,15.9,10,2.08,5,0.27,10,344.9,0,1.4,2,20,10,O,10,67,,=W4+X4,
4,"BCE, Inc.",BCE,NYQ,4.8,10,28.1,15,14.9,10,1.53,5,0.15,10,247.0,0,7.0,7,0,0,O,10,67,,=W5+X5,
5,Novo Nordisk A/S,NVO,NYQ,11.7,2,52.8,15,15.4,10,6.18,3,0.50,10,179.8,2,4.0,5,7,8,O,10,65,,=W6+X6,
6,Booz Allen Hamilton Holding Cor,BAH,NYQ,11.4,2,81.8,15,9.5,10,9.35,3,0.41,10,587.9,0,2.8,2,10,10,O,10,62,,=W7+X7,
7,"Leidos Holdings, Inc.",LDOS,NYQ,13.3,2,29.5,15,8.4,10,3.92,3,0.43,10,173.5,2,1.1,2,7,8,O,10,62,,=W8+X8,
8,Itau Unibanco Banco Holding SA,ITUB,NYQ,10.9,2,21.9,15,58.2,10,2.34,5,0.74,7,1394.2,0,9.1,10,4,3,O,10,62,,=W9+X9,
9,Synchrony Financial,SYF,NYQ,7.3,7,21.8,15,37.4,10,1.60,5,0.50,10,637.4,0,1.5,2,4,3,O,10,62,,=W10+X10,
10,Arch Capital Group Ltd. - Depos,ACGLO,NMS,1.9,10,18.2,10,74.5,10,0.34,5,0.02,10,227.4,0,6.7,7,0,0,O,10,62,,=W11+X11,
11,SEI Investments Company,SEIC,NMS,15.3,0,30.1,15,4.9,4,4.61,3,0.87,7,21.2,10,1.1,2,12,10,O,10,61,,=W12+X12,
12,Trip.com Group Limited,TCOM,NMS,7.8,7,19.5,10,35.8,10,1.42,5,0.04,10,55.4,7,0.6,2,0,0,O,10,61,,=W13+X13,
13,ResMed Inc.,RMD,NYQ,21.1,0,23.5,15,5.3,7,4.95,3,0.73,7,34.5,7,1.1,2,13,10,O,10,61,,=W14+X14,
14,Comcast Corporation,CMCSA,NMS,5.2,7,21.3,15,19.7,10,1.11,5,0.08,10,194.2,2,4.5,5,6,6,X,0,60,,=W15+X15,
15,RenaissanceRe Holdings Ltd.,RNR,NYQ,5.2,7,21.6,15,28.2,10,1.13,5,0.05,10,298.0,0,0.4,2,0,0,O,10,59,,=W16+X16,
16,"McCormick & Company, Incorporat",MKC,NYQ,8.3,5,23.6,15,5.4,7,1.96,5,1.61,0,125.9,2,3.6,5,27,10,O,10,59,,=W17+X17,
17,"McCormick & Company, Incorporat",MKC-V,NYQ,8.3,5,23.6,15,5.4,7,1.95,5,1.60,0,125.9,2,3.6,5,22,10,O,10,59,,=W18+X18,
18,"General Mills, Inc.",GIS,NYQ,8.6,5,23.7,15,12.1,10,2.03,5,-,0,246.7,0,6.9,7,6,6,O,10,58,,=W19+X19,
19,"PayPal Holdings, Inc.",PYPL,NMS,9.0,5,25.8,15,11.8,10,2.32,5,0.24,10,295.8,0,0.3,2,0,0,O,10,57,,=W20+X20,
20,"Virtu Financial, Inc.",VIRT,NYQ,9.2,5,29.6,15,10.6,10,2.71,5,0.33,10,1148.8,0,1.9,2,0,0,O,10,57,,=W21+X21,
21,International Business Machines,IBM,NYQ,20.4,0,32.6,15,5.2,7,6.67,3,0.24,10,373.5,0,2.9,2,30,10,O,10,57,,=W22+X22,
22,"NetEase, Inc.",NTES,NMS,15.3,0,21.1,15,64.2,10,16.00,3,0.79,7,35.1,7,2.6,2,4,3,O,10,57,,=W23+X23,
23,"The Hartford Insurance Group, I",HIG,NYQ,11.9,2,16.9,10,15.0,10,2.02,2,0.34,10,353.1,0,1.6,2,13,10,O,10,56,,=W24+X24,
24,Fox Corporation,FOX,NMS,13.3,2,17.3,10,11.9,10,2.30,2,0.41,10,94.7,4,1.0,2,5,6,O,10,56,,=W25+X25,
25,"T. Rowe Price Group, Inc.",TROW,NMS,10.8,2,19.2,10,6.6,7,2.07,2,0.95,7,21.1,10,4.9,5,3,3,O,10,56,,=W26+X26,
26,Fox Corporation,FOXA,NMS,14.8,2,17.3,10,10.7,10,2.56,2,0.46,10,94.7,4,0.9,2,5,6,O,10,56,,=W27+X27,
27,영원무역홀딩스,009970,KOSPI/KOSDAQ,4.0,10,12.0,5,-10.3,0,0.48,4,0.18,10,31.9,7,2.6,2,9,8,O,10,56,,=W28+X28,
28,VICI Properties Inc.,VICI,NYQ,10.1,2,11.0,5,8.0,10,1.11,0,0.37,10,65.5,4,6.0,7,7,8,O,10,56,,=W29+X29,
29,Kinross Gold Corporation,KGC,NYQ,12.7,2,31.5,15,7.0,7,4.00,3,0.09,10,40.3,7,0.3,2,0,0,O,10,56,,=W30+X30,
30,"Dillard's, Inc.",DDS,NYQ,16.5,0,32.1,15,6.6,7,5.29,3,-,0,97.0,4,5.2,7,12,10,O,10,56,,=W31+X31,
31,"Gilead Sciences, Inc.",GILD,NMS,19.3,0,37.5,15,5.8,7,7.22,3,0.84,7,160.4,2,2.4,2,10,10,O,10,56,,=W32+X32,
32,Applied Industrial Technologies,AIT,NYQ,28.5,0,21.7,15,4.0,4,6.19,3,0.74,7,60.7,4,0.6,2,16,10,O,10,55,,=W33+X33,
33,클래시스,214150,KOSPI/KOSDAQ,27.5,0,25.5,15,-0.4,0,7.01,3,0.78,7,26.2,10,0.5,2,8,8,O,10,55,,=W34+X34,
34,Banco Bilbao Vizcaya Argentaria,BBVA,NYQ,10.4,2,19.2,10,10.5,10,1.87,5,0.48,10,1481.2,0,3.7,5,4,3,O,10,55,,=W35+X35,
35,Intuit Inc.,INTU,NMS,25.1,0,22.8,15,5.6,7,5.71,3,1.07,4,79.9,4,1.1,2,14,10,O,10,55,,=W36+X36,
36,"Best Buy Co., Inc.",BBY,NYQ,12.0,2,36.1,15,9.8,10,4.31,3,-,0,394.9,0,6.3,7,8,8,O,10,55,,=W37+X37,
37,Millicom International Cellular,TIGO,NMS,10.8,2,36.2,15,6.5,7,3.91,3,0.13,10,374.5,0,5.3,7,0,0,O,10,54,,=W38+X38,
38,XP Inc.,XP,NMS,9.9,5,21.4,15,105.8,10,2.11,5,0.62,7,1588.1,0,0.9,2,0,0,O,10,54,,=W39+X39,
39,케이씨씨,002380,KOSPI/KOSDAQ,2.7,10,20.6,15,-7.8,0,0.55,5,0.01,10,117.6,2,2.7,2,2,0,O,10,54,,=W40+X40,
40,파마리서치,214450,KOSPI/KOSDAQ,19.4,0,24.4,15,-0.9,0,4.73,3,0.22,10,43.5,7,0.4,2,6,6,O,10,53,,=W41+X41,
41,Globe Life Inc.,GL,NYQ,13.6,2,15.2,10,10.2,10,2.06,2,0.58,7,415.7,0,0.7,2,10,10,O,10,53,,=W42+X42,
42,"Toll Brothers, Inc.",TOL,NYQ,9.9,5,16.4,10,7.5,7,1.63,5,1.35,4,71.5,4,0.7,2,5,6,O,10,53,,=W43+X43,
43,Newmont Corporation,NEM,NYQ,14.3,2,24.2,15,6.0,7,3.46,3,0.18,10,64.6,4,0.9,2,0,0,O,10,53,,=W44+X44,
44,H World Group Limited,HTHT,NMS,22.1,0,39.7,15,44.8,10,8.44,3,0.01,10,404.7,0,3.4,5,1,0,O,10,53,,=W45+X45,
45,Evercore Inc.,EVR,NYQ,30.2,0,21.9,15,8.8,10,6.62,3,4.59,0,149.6,2,1.0,2,18,10,O,10,52,,=W46+X46,
46,Cincinnati Financial Corporatio,CINF,NMS,9.3,5,17.5,10,12.0,10,1.63,5,-,0,162.3,2,2.1,2,7,8,O,10,52,,=W47+X47,
47,"Simon Property Group, Inc.",SPG,NYQ,14.4,2,88.9,15,4.8,4,12.76,3,0.49,10,650.9,0,4.2,5,4,3,O,10,52,,=W48+X48,
48,Tencent Music Entertainment Gro,TME,NYQ,8.8,5,13.8,5,63.3,10,1.23,0,0.19,10,24.3,10,2.0,2,1,0,O,10,52,,=W49+X49,
49,"United Parcel Service, Inc.",UPS,NYQ,21.1,0,27.0,15,5.2,7,5.70,3,-,0,350.2,0,6.0,7,16,10,O,10,52,,=W50+X50,
50,"Rogers Communication, Inc.",RCI,NYQ,3.8,10,39.2,15,10.6,10,1.50,5,0.07,10,365.2,0,3.0,2,0,0,X,0,52,,=W51+X51,
51,Edison International,EIX,NYQ,7.1,7,21.8,15,-2.7,0,1.55,5,0.08,10,436.4,0,4.8,5,1,0,O,10,52,,=W52+X52,
52,Progressive Corporation (The),PGR,NYQ,13.5,2,28.8,15,14.6,10,3.90,3,0.09,10,305.8,0,2.4,2,2,0,O,10,52,,=W53+X53,
53,"Universal Health Services, Inc.",UHS,NYQ,8.9,5,16.1,10,7.9,7,1.43,5,0.24,10,111.6,2,0.5,2,0,0,O,10,51,,=W54+X54,
54,"Jack Henry & Associates, Inc.",JKHY,NMS,21.9,0,23.0,15,3.7,4,5.05,3,2.71,0,38.9,7,1.5,2,22,10,O,10,51,,=W55+X55,
55,"Comfort Systems USA, Inc.",FIX,NYQ,53.0,0,43.5,15,1.6,2,23.04,3,0.86,7,146.5,2,0.1,2,13,10,O,10,51,,=W56+X56,
56,Expand Energy Corporation,EXE,NMS,7.6,7,16.5,10,6.7,7,1.26,5,-,0,51.0,7,3.1,5,1,0,O,10,51,,=W57+X57,
57,"PulteGroup, Inc.",PHM,NYQ,11.6,2,15.8,10,7.4,7,1.83,5,34.90,0,40.5,7,0.8,2,8,8,O,10,51,,=W58+X58,
58,Logitech International S.A. - R,LOGI,NMS,20.7,0,30.5,15,5.3,7,6.31,3,6.91,0,75.3,4,1.6,2,11,10,O,10,51,,=W59+X59,
59,"Broadridge Financial Solutions,",BR,NYQ,21.9,0,28.6,15,5.9,7,6.26,3,1.37,4,200.0,0,2.4,2,18,10,O,10,51,,=W60+X60,
60,Target Corporation,TGT,NYQ,15.9,0,22.9,15,4.8,4,3.65,3,1.48,4,268.0,0,3.5,5,42,10,O,10,51,,=W61+X61,
61,Barrick Mining Corporation,B,NYQ,13.2,2,18.8,10,5.9,7,2.48,2,0.10,10,59.0,7,1.3,2,1,0,O,10,50,,=W62+X62,
62,"Expedia Group, Inc.",EXPE,NMS,24.6,0,100.8,15,9.8,10,24.81,3,0.38,10,1706.0,0,0.6,2,0,0,O,10,50,,=W63+X63,
63,"Old Dominion Freight Line, Inc.",ODFL,NMS,43.6,0,23.7,15,2.1,2,10.34,3,-,0,26.9,10,0.5,2,8,8,O,10,50,,=W64+X64,
64,Johnson & Johnson,JNJ,NYQ,26.7,0,25.9,15,3.4,4,6.92,3,1.49,4,147.4,2,2.2,2,63,10,O,10,50,,=W65+X65,
65,"Ameriprise Financial, Inc.",AMP,NYQ,15.1,0,45.5,15,18.2,10,6.85,3,1.60,0,2815.0,0,1.3,2,20,10,O,10,50,,=W66+X66,
66,"Paychex, Inc.",PAYX,NMS,20.3,0,40.8,15,5.1,7,8.30,3,3.36,0,336.3,0,4.6,5,12,10,O,10,50,,=W67+X67,
67,Hubbell Inc,HUBB,NYQ,30.4,0,23.2,15,3.2,4,7.07,3,1.48,4,113.6,2,1.1,2,18,10,O,10,50,,=W68+X68,
68,"Mueller Industries, Inc.",MLI,NYQ,17.7,0,25.4,15,4.6,4,4.50,3,3.15,0,17.4,10,0.7,2,5,6,O,10,50,,=W69+X69,
69,"Merck & Company, Inc.",MRK,NYQ,20.5,0,25.0,15,4.6,4,5.13,3,2.43,0,160.1,2,3.0,5,15,10,O,10,49,,=W70+X70,
70,대한조선,439260,KOSPI/KOSDAQ,13.7,2,24.4,15,-0.3,0,3.35,3,0.31,10,40.3,7,0.3,2,0,0,O,10,49,,=W71+X71,
71,NVIDIA Corporation,NVDA,NMS,40.6,0,76.3,15,2.0,2,31.00,3,0.20,10,31.5,7,0.0,2,2,0,O,10,49,,=W72+X72,
72,Eli Lilly and Company,LLY,NYQ,46.8,0,67.4,15,0.7,2,31.56,3,0.91,7,323.9,0,0.6,2,11,10,O,10,49,,=W73+X73,
73,Parker-Hannifin Corporation,PH,NYQ,32.9,0,24.7,15,2.9,2,8.14,3,0.84,7,113.1,2,0.8,2,9,8,O,10,49,,=W74+X74,
74,"Cheniere Energy, Inc.",LNG,NYQ,11.1,2,67.3,15,4.2,4,7.47,3,0.18,10,439.7,0,0.7,2,4,3,O,10,49,,=W75+X75,
75,"Assurant, Inc.",AIZ,NYQ,13.7,2,14.9,5,13.4,10,2.04,0,0.28,10,518.1,0,1.4,2,21,10,O,10,49,,=W76+X76,
76,QUALCOMM Incorporated,QCOM,NMS,19.4,0,36.4,15,6.7,7,7.06,3,-,0,109.5,2,2.0,2,22,10,O,10,49,,=W77+X77,
77,Chubb Limited,CB,NYQ,11.4,2,15.3,10,9.9,10,1.75,5,0.42,10,265.0,0,0.6,2,0,0,O,10,49,,=W78+X78,
78,Kimberly-Clark Corporation,KMB,NMS,15.5,0,118.0,15,5.0,4,18.26,3,7.98,0,850.2,0,5.1,7,20,10,O,10,49,,=W79+X79,
79,Credicorp Ltd.,BAP,NYQ,13.3,2,18.1,10,28.5,10,2.39,2,0.92,7,595.0,0,3.4,5,4,3,O,10,49,,=W80+X80,
80,AerCap Holdings N.V.,AER,NYQ,6.0,7,21.3,15,-2.9,0,1.27,5,0.14,10,288.2,0,0.6,2,1,0,O,10,49,,=W81+X81,
81,Ericsson,ERIC,NMS,14.6,2,24.6,15,73.9,10,0.38,5,0.98,7,182.8,2,2.4,2,6,6,X,0,49,,=W82+X82,
82,"Constellation Brands, Inc.",STZ,NYQ,16.1,0,20.9,15,6.6,7,3.36,3,-,0,167.2,2,2.6,2,10,10,O,10,49,,=W83+X83,
83,Alamos Gold Inc.,AGI,NYQ,15.9,0,23.0,15,1.6,2,3.66,3,0.09,10,41.9,7,0.1,2,0,0,O,10,49,,=W84+X84,
84,"Powell Industries, Inc.",POWL,NMS,54.0,0,28.0,15,1.5,2,15.13,3,0.40,10,63.6,4,0.1,2,3,3,O,10,49,,=W85+X85,
85,Dr. Reddy's Laboratories Ltd,RDY,NYQ,18.9,0,15.2,10,105.9,10,16.91,2,0.56,7,50.3,7,0.7,2,0,0,O,10,48,,=W86+X86,
86,"Donaldson Company, Inc.",DCI,NYQ,27.5,0,24.0,15,3.3,4,6.60,3,5.89,0,94.3,4,1.3,2,30,10,O,10,48,,=W87+X87,
87,Moody's Corporation,MCO,NYQ,32.8,0,83.3,15,3.1,4,27.35,3,1.46,4,387.1,0,0.8,2,16,10,O,10,48,,=W88+X88,
88,Ecolab Inc.,ECL,NYQ,35.7,0,21.2,15,2.6,2,7.58,3,1.48,4,152.4,2,1.0,2,23,10,O,10,48,,=W89+X89,
89,Garmin Ltd.,GRMN,NYQ,28.0,0,18.7,10,2.8,2,5.24,2,1.44,4,18.1,10,1.4,2,8,8,O,10,48,,=W90+X90,
90,Graco Inc.,GGG,NYQ,26.2,0,18.8,10,4.7,4,4.93,2,5.23,0,21.6,10,1.4,2,20,10,O,10,48,,=W91+X91,
91,"InterDigital, Inc.",IDCC,NMS,33.0,0,36.9,15,3.5,4,12.18,3,0.58,7,87.5,4,0.6,2,3,3,O,10,48,,=W92+X92,
92,"Lennox International, Inc.",LII,NYQ,23.3,0,66.1,15,3.4,4,15.42,3,1.30,4,253.6,0,0.9,2,16,10,O,10,48,,=W93+X93,
93,Avery Dennison Corporation,AVY,NYQ,24.2,0,23.3,15,5.4,7,5.63,3,-,0,292.6,0,2.3,2,15,10,O,10,47,,=W94+X94,
94,AECOM,ACM,NYQ,23.7,0,21.0,15,6.2,7,4.97,3,0.96,7,425.4,0,1.2,2,3,3,O,10,47,,=W95+X95,
95,Marsh,MRSH,NYQ,20.8,0,26.9,15,6.1,7,5.59,3,1.77,0,300.3,0,2.0,2,16,10,O,10,47,,=W96+X96,
96,Colgate-Palmolive Company,CL,NYQ,32.2,0,3946.3,15,5.3,7,1272.02,3,4.43,0,29564.8,0,2.4,2,52,10,O,10,47,,=W97+X97,
97,"EMCOR Group, Inc.",EME,NYQ,29.8,0,34.6,15,3.0,2,10.31,3,0.58,7,145.9,2,0.1,2,5,6,O,10,47,,=W98+X98,
98,"Delta Air Lines, Inc.",DAL,NYQ,9.9,5,22.0,15,8.7,10,2.18,5,0.18,10,314.4,0,1.0,2,2,0,X,0,47,,=W99+X99,
