순위,종목명,종목코드,시장,PER,PER점수(/10),ROE(%),ROE점수(/15),FCF수익률(%),FCF점수(/10),PBR,PBR점수(/5),PEG,PEG점수(/10),부채비율(%),부채비율점수(/10),배당수익률(%),배당수익률점수(/10),배당성장연수(년),배당성장점수(/10),소각여부,소각점수(/10),정량합계,경제적해자(0~10직접입력),최종예상점수,메모
207,Texas Pacific Land Corporation,TPL,NYQ,57.2,0,33.0,15,0.1,2,18.88,3,20.56,0,11.3,10,0.5,2,0,0,O,10,42,,=W208+X208,
208,"Skyworks Solutions, Inc.",SWKS,NMS,27.1,0,6.3,0,11.0,10,1.70,0,-,0,36.9,7,4.3,5,11,10,O,10,42,,=W209+X209,
209,Ralph Lauren Corporation,RL,NYQ,23.9,0,31.8,15,4.6,4,7.61,3,1.86,0,170.5,2,1.0,2,5,6,O,10,42,,=W210+X210,
210,"Ross Stores, Inc.",ROST,NMS,33.7,0,34.7,15,3.1,4,11.69,3,2.29,0,151.3,2,0.7,2,5,6,O,10,42,,=W211+X211,
211,CSX Corporation,CSX,NMS,27.1,0,22.5,15,2.1,2,6.10,3,-,0,225.8,0,1.2,2,21,10,O,10,42,,=W212+X212,
212,Johnson Controls International ,JCI,NYQ,29.3,0,22.1,15,1.1,2,6.48,3,0.92,7,187.4,2,0.5,2,0,0,O,10,41,,=W213+X213,
213,Fifth Third Bancorp - Depositar,FITBI,NMS,7.7,7,6.4,0,22.8,10,0.49,4,-,0,770.9,0,8.2,10,0,0,O,10,41,,=W214+X214,
214,Companhia de saneamento Basico ,SBS,NYQ,12.7,2,19.8,10,-24.1,0,2.62,2,0.09,10,145.8,2,2.1,2,4,3,O,10,41,,=W215+X215,
215,Tradeweb Markets Inc.,TW,NMS,27.1,0,13.1,5,4.5,4,3.56,0,0.74,7,14.9,10,0.4,2,3,3,O,10,41,,=W216+X216,
216,"FirstCash Holdings, Inc.",FCFS,NMS,28.1,0,15.4,10,5.3,7,4.33,2,2.45,0,133.3,2,0.7,2,9,8,O,10,41,,=W217+X217,
217,Devon Energy Corporation,DVN,NYQ,10.7,2,17.0,10,9.9,10,1.81,5,-,0,103.5,2,2.1,2,0,0,O,10,41,,=W218+X218,
218,Pentair plc.,PNR,NYQ,19.3,0,17.6,10,5.8,7,3.39,2,1.76,0,85.6,4,1.3,2,6,6,O,10,41,,=W219+X219,
219,Erie Indemnity Company,ERIE,NMS,22.2,0,24.3,15,4.5,4,5.38,3,0.95,7,43.5,7,2.5,2,4,3,X,0,41,,=W220+X220,
220,TIM S.A.,TIMB,NYQ,13.0,2,17.7,10,78.9,10,12.22,2,6.24,0,136.7,2,4.1,5,0,0,O,10,41,,=W221+X221,
221,"Salesforce, Inc.",CRM,NYQ,23.5,0,12.6,5,8.2,10,2.96,0,0.10,10,89.9,4,0.9,2,1,0,O,10,41,,=W222+X222,
222,TE Connectivity plc,TEL,NYQ,21.3,0,22.0,15,5.2,7,4.68,3,-,0,92.9,4,1.0,2,0,0,O,10,41,,=W223+X223,
223,Morgan Stanley,MS,NYQ,16.5,0,15.8,10,-6.9,0,2.62,2,0.90,7,1282.8,0,2.0,2,12,10,O,10,41,,=W224+X224,
