순위,종목명,종목코드,시장,PER,PER점수(/10),ROE(%),ROE점수(/15),FCF수익률(%),FCF점수(/10),PBR,PBR점수(/5),PEG,PEG점수(/10),부채비율(%),부채비율점수(/10),배당수익률(%),배당수익률점수(/10),배당성장연수(년),배당성장점수(/10),소각여부,소각점수(/10),정량합계,경제적해자(0~10직접입력),최종예상점수,메모
1,Allstate Corporation (The),ALL,NYQ,5.5,7,33.6,15,17.5,10,1.85,5,0.05,10,291.3,0,1.9,2,15,10,O,10,69,,=W2+X2,
2,"BCE, Inc.",BCE,NYQ,4.9,10,28.1,15,14.7,10,1.57,5,0.16,10,247.0,0,6.9,7,0,0,O,10,67,,=W3+X3,
3,SEI Investments Company,SEIC,NMS,13.8,2,29.2,15,5.6,7,4.04,3,0.78,7,22.7,10,1.3,2,12,10,O,10,66,,=W4+X4,
4,Novo Nordisk A/S,NVO,NYQ,11.3,2,52.8,15,15.9,10,5.93,3,0.48,10,179.8,2,4.1,5,7,8,O,10,65,,=W5+X5,
5,"The Hartford Insurance Group, I",HIG,NYQ,10.2,2,20.2,15,14.7,10,2.06,5,0.29,10,353.1,0,1.6,2,13,10,O,10,64,,=W6+X6,
6,Arch Capital Group Ltd. - Depos,ACGLO,NMS,1.9,10,18.2,10,74.2,10,0.34,5,0.05,10,227.4,0,6.7,7,0,0,O,10,62,,=W7+X7,
7,Booz Allen Hamilton Holding Cor,BAH,NYQ,12.0,2,81.8,15,9.1,10,9.79,3,0.42,10,587.9,0,2.7,2,10,10,O,10,62,,=W8+X8,
8,Itau Unibanco Banco Holding SA,ITUB,NYQ,11.7,2,21.9,15,54.3,10,2.57,5,0.79,7,1394.2,0,8.5,10,4,3,O,10,62,,=W9+X9,
9,"Leidos Holdings, Inc.",LDOS,NYQ,13.9,2,29.5,15,8.1,10,4.11,3,0.45,10,173.5,2,1.0,2,7,8,O,10,62,,=W10+X10,
10,"T. Rowe Price Group, Inc.",TROW,NMS,10.0,2,19.2,10,7.1,7,1.93,5,0.89,7,21.1,10,5.3,7,3,3,O,10,61,,=W11+X11,
11,Trip.com Group Limited,TCOM,NMS,7.8,7,17.2,10,49.7,10,1.43,5,0.04,10,59.8,7,0.5,2,0,0,O,10,61,,=W12+X12,
12,ResMed Inc.,RMD,NYQ,22.1,0,23.5,15,5.0,7,5.20,3,0.77,7,34.5,7,1.0,2,13,10,O,10,61,,=W13+X13,
13,Comcast Corporation,CMCSA,NMS,5.3,7,20.6,15,18.0,10,1.10,5,0.08,10,180.9,2,4.2,5,6,6,X,0,60,,=W14+X14,
14,Cincinnati Financial Corporatio,CINF,NMS,10.8,2,15.0,10,12.0,10,1.62,5,0.16,10,157.7,2,2.1,2,7,8,O,10,59,,=W15+X15,
15,"McCormick & Company, Incorporat",MKC-V,NYQ,8.7,5,23.6,15,5.1,7,2.06,5,1.69,0,125.9,2,3.4,5,22,10,O,10,59,,=W16+X16,
16,Synchrony Financial,SYF,NYQ,7.6,7,21.2,15,36.6,10,1.60,5,0.51,7,610.3,0,1.5,2,4,3,O,10,59,,=W17+X17,
17,"McCormick & Company, Incorporat",MKC,NYQ,8.7,5,23.6,15,5.2,7,2.06,5,1.69,0,125.9,2,3.4,5,27,10,O,10,59,,=W18+X18,
18,"General Mills, Inc.",GIS,NYQ,8.6,5,23.7,15,12.1,10,2.03,5,-,0,246.7,0,6.9,7,6,6,O,10,58,,=W19+X19,
19,"Universal Health Services, Inc.",UHS,NYQ,7.6,7,20.5,15,7.3,7,1.55,5,0.21,10,111.6,2,0.4,2,0,0,O,10,58,,=W20+X20,
20,"NetEase, Inc.",NTES,NMS,15.4,0,21.1,15,63.7,10,16.07,3,0.80,7,35.1,7,2.6,2,4,3,O,10,57,,=W21+X21,
21,"PayPal Holdings, Inc.",PYPL,NMS,8.9,5,25.8,15,11.9,10,2.31,5,0.24,10,295.8,0,0.3,2,0,0,O,10,57,,=W22+X22,
22,"Virtu Financial, Inc.",VIRT,NYQ,9.2,5,29.6,15,10.6,10,2.71,5,0.33,10,1148.8,0,1.9,2,0,0,O,10,57,,=W23+X23,
23,"The Travelers Companies, Inc.",TRV,NYQ,10.6,2,19.1,10,15.8,10,2.04,2,0.33,10,336.9,0,1.5,2,20,10,O,10,56,,=W24+X24,
24,Globe Life Inc.,GL,NYQ,10.4,2,19.4,10,10.4,10,2.02,2,0.44,10,415.7,0,0.7,2,10,10,O,10,56,,=W25+X25,
25,"Ameriprise Financial, Inc.",AMP,NYQ,12.4,2,54.4,15,18.5,10,6.75,3,1.32,4,2815.0,0,1.4,2,20,10,O,10,56,,=W26+X26,
26,Fox Corporation,FOX,NMS,13.5,2,17.3,10,11.7,10,2.34,2,0.42,10,94.7,4,0.9,2,5,6,O,10,56,,=W27+X27,
27,"Gilead Sciences, Inc.",GILD,NMS,20.4,0,37.5,15,5.4,7,7.65,3,0.89,7,160.4,2,2.3,2,10,10,O,10,56,,=W28+X28,
28,영원무역홀딩스,009970,KOSPI/KOSDAQ,4.0,10,12.0,5,-10.2,0,0.49,4,0.18,10,31.9,7,2.5,2,9,8,O,10,56,,=W29+X29,
29,클래시스,214150,KOSPI/KOSDAQ,28.8,0,25.5,15,-0.3,0,7.34,3,0.82,7,26.2,10,0.4,2,8,8,O,10,55,,=W30+X30,
30,"Best Buy Co., Inc.",BBY,NYQ,12.8,2,36.1,15,9.2,10,4.61,3,-,0,394.9,0,5.9,7,8,8,O,10,55,,=W31+X31,
31,"Rogers Communication, Inc.",RCI,NYQ,3.6,10,38.8,15,11.6,10,1.41,5,0.06,10,370.3,0,3.2,5,0,0,X,0,55,,=W32+X32,
32,Applied Industrial Technologies,AIT,NYQ,26.8,0,21.5,15,4.3,4,5.77,3,0.69,7,68.6,4,0.6,2,16,10,O,10,55,,=W33+X33,
33,Intuit Inc.,INTU,NMS,25.0,0,22.8,15,5.6,7,5.69,3,1.07,4,79.9,4,1.1,2,14,10,O,10,55,,=W34+X34,
34,Millicom International Cellular,TIGO,NMS,10.4,2,36.2,15,6.7,7,3.77,3,0.12,10,374.5,0,5.5,7,0,0,O,10,54,,=W35+X35,
35,International Business Machines,IBM,NYQ,22.6,0,32.4,15,4.8,4,7.32,3,0.27,10,364.9,0,2.7,2,30,10,O,10,54,,=W36+X36,
36,Kinross Gold Corporation,KGC,NYQ,17.0,0,27.9,15,6.3,7,4.73,3,0.07,10,43.3,7,0.3,2,0,0,O,10,54,,=W37+X37,
37,Fox Corporation,FOXA,NMS,15.0,0,17.3,10,10.5,10,2.60,2,0.46,10,94.7,4,0.9,2,5,6,O,10,54,,=W38+X38,
38,Target Corporation,TGT,NYQ,15.2,0,22.9,15,5.0,7,3.49,3,1.41,4,268.0,0,3.6,5,42,10,O,10,54,,=W39+X39,
39,"Toll Brothers, Inc.",TOL,NYQ,9.7,5,16.4,10,7.7,7,1.59,5,1.32,4,71.5,4,0.7,2,5,6,O,10,53,,=W40+X40,
